designation;credit;code;semestre;codeUnite
Math�matique avanc�e pour ing�nieurs;4.00;EC_1_TRONC-COM;Premier;SCI491
Urbanisme et Habitat;2.00;EC_1_TRONC-COM;Premier;AMG491
M�canique des milieux continus;4.00;EC_1_TRONC-COM;Premier;CIB401
El�ments finis;2.00;EC_2_TRONC-COM;Premier;CIB401
Etudes des impacts environnementaux des projets de construction;3.00;EC_1_TRONC-COM;Premier;GPC491
Gestion des projets des constructions;3.00;EC_2_TRONC-COM;Premier;GPC491
Entrepreneuriat et Management des entreprises;4.00;EC_3_TRONC-COM;Premier;GPC491
G�otechnique appliqu�e 2;4.00;EC_1_TRONC-COM;Premier;GFD401
M�thodes de recherche;4.00;EC_1_TRONC-COM;Premier;RCB401
Hydraulique urbaine et rurale;2.00;EC_1;Second;HYD401
Hydraulique souterraine ;2.00;EC_2;Second;HYD401
Hydraulique fluviale;3.00;EC_3;Second;HYD401
Travaux hydrauliques 2;3.00;EC_4;Second;HYD401
Calcul des structures;4.00;EC_1;Second;CIB406
Pr�visions et mod�lisations hydrologiques;3.00;EC_1;Second;HYD402
Constructions souterraines;4.00;EC_1;Second;GFD403
Stage professionnel 2;9.00;EC_1;Second;RCB411
