designation;categorie;code
GESTION DES CHANTIERS;A;GPC301
MECANIQUE DES CONSTRUCTIONS 1;A;CIB301
CONSTRUCTIONS 1;A;CIB302
TRAVAUX HYDRAULIQUES 1;A;HYD301
PONTS 1;A;PCH301
GEOTECHNIQUE APPLIQUEE;A;GFD301
TECHNIQUES SPECIALES 1;A;CIB303
ASSAINISSEMENT;A;ENV301
TRAVAUX HYDRAULIQUES 2;A;HYD302
 APPROVISIONNEMENT EN EAU;A;HYD303
INFORMATIQUE APPLIQUEE;B;SCI301
STAGE 3;D;RCB311
PROJET  PROFESSIONNEL;D;RCB301
DEONTOLOGIE PROFESSIONNELLE;C;LEG391
PROJET  PROFESSIONNEL;D;RCB301
GEOTECHNIQUE APPLIQUEE;A;GFD301
